id,seo.title,seo.description
1751,"Kopfschmerzen verstehen: Arten, Ursachen | AustroFit","Welche Kopfschmerzen gibt es, was steckt dahinter und wann sollte man ärztlich nachfragen? Evidenzbasiert und alltagsnah erklärt."
1752,"Migräne verstehen: Attacken, Aura, Auslöser | AustroFit","Migräne erkennen, einordnen und besser damit umgehen: typische Symptome, Mythen, Selbsthilfe im Alltag und wann ärztliche Abklärung wichtig ist."
1753,Spannungskopfschmerz verstehen: Muskelspannung | AustroFit,"Was steckt hinter Spannungskopfschmerzen? Erfahre, warum unspezifische Schmerzen häufig sind, was du selbst tun kannst und wann ärztliche Hilfe sinnvoll ist."
1754,Cluster-Kopfschmerzen erkennen & abgrenzen | AustroFit,"Was hinter sehr starken Kopfschmerzen stecken kann, wie sie sich von Nervenschmerzen unterscheiden und wann ärztliche Abklärung sinnvoll ist."
1756,Akutmittel richtig anwenden | AustroFit,"Was du über Akutmedikamente, sichere Anwendung und Risiken durch Übergebrauch wissen solltest – verständlich erklärt Mehr dazu auf AustroFit."
1757,Trigger erkennen: Kopfschmerz- & Migränetagebuch | AustroFit,"Wie ein Kopfschmerz- und Migränetagebuch hilft, Muster zu erkennen, Beschwerden besser zu beschreiben und ärztliche Entscheidungen zu unterstützen."
1758,"Prävention im Alltag: Schlaf, Stress, Rhythmus","Was Schlaf, Stress und ein stabiler Rhythmus für die Gesundheit bedeuten – kompakt, ruhig und evidenzbasiert erklärt Mehr dazu auf AustroFit."
1759,"Ernährung, Koffein & Alkohol als Trigger | AustroFit","Was wirklich hinter vermeintlichen Triggern steckt: evidenzbasierte Einordnung zu Ernährung, Unverträglichkeiten und Risiken – ohne Verbote oder Dogmen."
1762,Angststörung & Panik: Symptome verstehen | AustroFit,"Was Angststörungen und Panik ausmacht, welche Symptome auftreten können und wann ärztliche Abklärung sinnvoll ist Mehr dazu auf AustroFit."
1763,Stress & Burnout verstehen: Warnsignale | AustroFit,"Stress gehört zum Leben – wird er dauerhaft, kann er belasten. Erfahre, worauf du achten solltest und wie Erholung realistisch gelingt."
1764,"Hilfe finden: Anlaufstellen, Gespräche | AustroFit","Welche Anlaufstellen gibt es, wie können Gespräche helfen und wann ist ärztliche Unterstützung sinnvoll? Ein evidenzbasierter Überblick ohne Empfehlung."
1765,"Rückenschmerzen verstehen – Ursachen, Verlauf, Einordnung","Was Rückenschmerzen bedeuten können, wie sie häufig verlaufen und wann ärztliche Abklärung sinnvoll ist Mehr dazu auf AustroFit."
1767,"ISG, Bandscheibe, Ischias: Ursachen | AustroFit","ISG, Bandscheibe oder Ischias? Erfahre, was hinter ausstrahlenden Rückenschmerzen steckt, was wichtig ist und wann ärztliche Abklärung sinnvoll ist."
1770,"MRT, CT oder Röntgen – wann ist Bildgebung sinnvoll?","Erfahre, wann bildgebende Diagnostik wie MRT, CT oder Röntgen sinnvoll ist und worauf du im Alltag achten kannst Mehr dazu auf AustroFit."
